id	repo	commit	install_cmd	baseline_cmd	post_migrate_cmd	notes
html5-boilerplate	h5bp/html5-boilerplate	b7e31d67f4cf83e23d51f4decc73618bf8bd77ba	npm ci	npm test	pnpm test	Mature frontend template with Gulp archive generation and Mocha tests.
jsdoc	jsdoc/jsdoc	61e8289b0f7f8b340179ea4a768d7310396cb0ca	npm install	npm test	pnpm test	Large npm workspace repo; good monorepo migration candidate.
dompurify	cure53/DOMPurify	a35824c00bbfc9fea4ef4d16e29a81b89fe9b389	npm ci	npm test	pnpm test	Popular single package with npm scripts in package.json and CI.
markdown-it	markdown-it/markdown-it	2d9bbea7df2ab1a48caecfafc39cb8599f193d3c	npm ci	npm test	pnpm test	Mature package with smaller package surface and npm CI cache usage.
bpmn-js	bpmn-io/bpmn-js	84812f7ad7352208a2d34d913a4ddaa60306e100	npm ci	npm test	pnpm test	Build/test pipeline uses karma; useful browser/test complexity candidate.
jquery	jquery/jquery	d6fb53bce28d597ac309ec81efe761bd410bdf41	npm ci	npm run test:jsdom	pnpm test:jsdom	Mature JS library with dynamic workflow scripts, build steps, and jsdom tests.
dayjs	iamkun/dayjs	98364bcebc047529345cc8c2bbcc44a6a8c18e79	npm ci	TZ=UTC npm test	TZ=UTC pnpm test	Popular date library with timezone-sensitive Jest tests pinned to UTC for fair local comparison.
uuid	uuidjs/uuid	ea83515d6a4de13a8f9d253fe772752c9dd7bbbe	npm ci	npm test	pnpm test	Popular UUID library with build, docs, examples, and Node tests.
lodash	lodash/lodash	a666ba591064c8011988275790ad7d625279f09c	npm ci	npm test	pnpm test	Mature utility library with custom build/test scripts.
github-readme-stats	anuraghazra/github-readme-stats	54a7985aeefda00d5eadb55b80c17c7f976c37d2	npm ci	npm test	pnpm test	Popular stats-card service with Jest coverage and lint/docs scripts.
javascript-algorithms	trekhleb/javascript-algorithms	0f52fbaced5d33041a5a834f72f880a9262bcb82	npm ci	npm test	pnpm test	Algorithms repo with Jest tests.
koa	koajs/koa	52d5e8ff5ac79f2479463b53df2999900ae95115	npm ci	npm test	pnpm test	Node library with node:test suite.
drawio-desktop	jgraph/drawio-desktop	9dd91e0ea45555d491f3307a1a93d799f3f563e5	npm ci	npm test	pnpm test	Electron desktop app with node test smoke.
leaflet	Leaflet/Leaflet	300cce51fed23ac5c2dbc7491b02cfc84e3393fc	npm ci	npm run lint	pnpm lint	Map library lint target that avoids browser install.
thirty-three-js-concepts	leonardomso/33-js-concepts	16d0d95c02b19df6a8c841f1a0012d7b7367a340	npm ci	npm test	pnpm test	Vitest examples repo.
